iter	MultiClass
0	1.329385933
1	1.076783127
2	0.8988236265
3	0.7676737465
4	0.6712636521
5	0.5909593873
6	0.5239991485
7	0.4690608078
8	0.42160013
9	0.379763555
10	0.3449679462
11	0.3139941427
12	0.2881634863
13	0.2630332625
14	0.2437343556
15	0.2264021346
16	0.2096958026
17	0.1945565678
18	0.1813957793
19	0.1689739123
20	0.1578186576
21	0.1482708265
22	0.1405474753
23	0.1325601813
24	0.1253660003
25	0.1203484966
26	0.1143096152
27	0.1089089456
28	0.1046257187
29	0.100644468
30	0.09675214979
31	0.0934877838
32	0.09022067633
33	0.08722716183
34	0.08439398382
35	0.08212811946
36	0.08001192458
37	0.07757411108
38	0.07564263848
39	0.07410576328
40	0.0725693535
41	0.07127084993
42	0.07025947668
43	0.06886356959
44	0.06801694835
45	0.06694627061
46	0.06583888729
47	0.06461625682
48	0.06357543389
49	0.06262091394
50	0.06157265157
51	0.06086551996
52	0.06023938728
53	0.05951409877
54	0.05894198008
55	0.05826608179
56	0.0574952217
57	0.05692547316
58	0.05610797353
59	0.05549235385
60	0.05513095291
61	0.05461537495
62	0.05423805024
63	0.05369443642
64	0.05324087276
65	0.05285595488
66	0.05238122086
67	0.05197326802
68	0.05159057994
69	0.05110949411
70	0.05074643055
71	0.05027438478
72	0.04987517093
73	0.04953600633
74	0.04916342797
75	0.0488329587
76	0.04864650162
77	0.04825273799
78	0.04788839011
79	0.04728327962
80	0.04701874651
81	0.04667032056
82	0.04646198974
83	0.04600406282
84	0.0456954806
85	0.0453839255
86	0.04516560998
87	0.04493621429
88	0.0447058416
89	0.04446156176
90	0.04423974557
91	0.04396333728
92	0.04371445591
93	0.04345440796
94	0.04309811083
95	0.04284254099
96	0.04262119439
97	0.04238724587
98	0.04219471208
99	0.0419471921
100	0.04181465812
101	0.04160263727
102	0.04140622894
103	0.04114691608
104	0.04094892749
105	0.04068617785
106	0.04040994717
107	0.0402470969
108	0.04011923428
109	0.03985762214
110	0.03967643008
111	0.0394581888
112	0.03932473672
113	0.03914788595
114	0.03900680131
115	0.03883835967
116	0.03869736674
117	0.03841977592
118	0.03832258143
119	0.03820356221
120	0.03805180196
121	0.03788513655
122	0.03773475226
123	0.0375129133
124	0.03739394355
125	0.03724640916
126	0.03701163321
127	0.03680859621
128	0.03658437622
129	0.03642701036
130	0.03623772448
131	0.03608074552
132	0.03589870739
133	0.03583713643
134	0.03572186771
135	0.0355491421
136	0.03535335819
137	0.03521870119
138	0.03513163664
139	0.03504118991
140	0.03490993818
141	0.03475966067
142	0.03470269518
143	0.03459285719
144	0.03447855593
145	0.03433490248
146	0.03421956329
147	0.03408523205
